;A;B;C
28-09-2022 23:00;6.085966605801254e-05;0.0;0.0
16-10-2022 00:00;4.4481002388009166e-05;0.0;0.0
16-10-2022 01:00;4.598956351550947e-05;0.0;0.0
16-10-2022 02:00;4.624817399450953e-05;0.0;0.0
16-10-2022 03:00;4.857566830551001e-05;0.0;0.0
16-10-2022 04:00;4.5213732078509313e-05;0.0;0.0
16-10-2022 05:00;4.991182244701028e-05;0.0;0.0
16-10-2022 06:00;0.0009128518891236;0.0;0.0
16-10-2022 07:00;0.0288809717685284;0.0140111497609397;0.0
16-10-2022 08:00;0.1053385564604432;0.1442937800535867;0.0049
16-10-2022 09:00;0.2059285504072339;0.3318076898866687;0.0603
16-10-2022 10:00;0.2945925497079512;0.474924423012187;0.17015
16-10-2022 11:00;0.3438989219218758;0.4961038235962221;0.2598
16-10-2022 12:00;0.3590123769251179;0.46505176674722;0.340225
16-10-2022 13:00;0.3361391420924932;0.3727214557635835;0.373725
16-10-2022 14:00;0.2656541233113382;0.1937761673175711;0.3766
16-10-2022 15:00;0.1533740736788151;0.1183374431085774;0.348325
16-10-2022 16:00;0.0441746782756336;0.0398247347347621;0.28615
16-10-2022 17:00;0.0017277335084528;0.003551283700385;0.1931
16-10-2022 18:00;9.27549584680191e-05;0.0;0.077075
16-10-2022 19:00;7.629009130501572e-05;0.0;0.00365
16-10-2022 20:00;5.999763112801236e-05;0.0;0.0
16-10-2022 21:00;5.465301456201126e-05;0.0;0.0
16-10-2022 22:00;4.892048227751008e-05;0.0;0.0
16-10-2022 23:00;5.189450278601068e-05;0.0;0.0
04-12-2022 00:00;6.36181778340131e-05;0.0;0.0
04-12-2022 01:00;6.124758177651262e-05;0.0;0.0
04-12-2022 02:00;6.12044800300126e-05;0.0;0.0
04-12-2022 03:00;6.374748307351313e-05;0.0;0.0
04-12-2022 04:00;6.275614290401292e-05;0.0;0.0
04-12-2022 05:00;6.478192498951334e-05;0.0;0.0
04-12-2022 06:00;7.357468127551515e-05;0.0;0.0
04-12-2022 07:00;9.012575193151856e-05;0.0;0.0
04-12-2022 08:00;0.0030409144190686;0.0003739576177717;0.0
04-12-2022 09:00;0.0146843771168345;0.0143689054678712;0.0004
04-12-2022 10:00;0.02913574619209;0.0347649217683072;0.01675
04-12-2022 11:00;0.0387489442227194;0.0405533828330902;0.053125
04-12-2022 12:00;0.041293585132587;0.0342810538905112;0.0784
04-12-2022 13:00;0.029322031940463;0.0297235001601033;0.093375
04-12-2022 14:00;0.0135092079985117;0.016699353291971;0.089825
04-12-2022 15:00;0.0033861163067871;0.0043977240694164;0.070225
04-12-2022 16:00;0.00019481989418;0.0001173543812211;0.049675
04-12-2022 17:00;9.184982179151892e-05;0.0;0.02105
04-12-2022 18:00;9.059987114301867e-05;0.0;0.0016
04-12-2022 19:00;8.245364105451698e-05;0.0;0.0
04-12-2022 20:00;7.366088476851518e-05;0.0;0.0
04-12-2022 21:00;6.629048611701364e-05;0.0;0.0
04-12-2022 22:00;6.430780577801325e-05;0.0;0.0
04-12-2022 23:00;6.391989005951316e-05;0.0;0.0
27-12-2022 00:00;6.435090752451325e-05;0.0;0.0
27-12-2022 01:00;6.486812848251337e-05;0.0;0.0
27-12-2022 02:00;6.547155293351348e-05;0.0;0.0
27-12-2022 03:00;6.676460532851375e-05;0.0;0.0
27-12-2022 04:00;6.917830313251426e-05;0.0;0.0
27-12-2022 05:00;7.258334110601495e-05;0.0;0.0
27-12-2022 06:00;9.288426370751912e-05;0.0;0.0
27-12-2022 07:00;0.00010085808681;0.0;0.0
27-12-2022 08:00;0.0083619974314807;3.2403821680455624e-05;0.0
27-12-2022 09:00;0.0612783995252601;0.0289852184931675;0.0001
27-12-2022 10:00;0.1310781436388115;0.1049656119916034;0.023775
27-12-2022 11:00;0.1831121667782427;0.1621044968513009;0.11655
27-12-2022 12:00;0.192138060411063;0.1483823541485923;0.224925
27-12-2022 13:00;0.1541857226671567;0.1493496520147021;0.264825
27-12-2022 14:00;0.0908680502097417;0.126838191625911;0.249225
27-12-2022 15:00;0.0268929899147085;0.0748615858714958;0.188275
27-12-2022 16:00;0.0013420590807707;0.0120222557329312;0.148475
27-12-2022 17:00;8.180711485701685e-05;0.0;0.073625
27-12-2022 18:00;7.443671620551534e-05;0.0;0.00345
27-12-2022 19:00;6.723872454001385e-05;0.0;0.0
27-12-2022 20:00;6.693701231451379e-05;0.0;0.0
27-12-2022 21:00;6.422160228501322e-05;0.0;0.0
27-12-2022 22:00;6.055795383251248e-05;0.0;0.0
27-12-2022 23:00;6.680770707501376e-05;0.0;0.0
