A;B;C
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
40.25148227827839;40.25148227827839;40.25148227827839
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
36.60237753673532;36.60237753673532;36.60237753673532
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
25.924312063231188;25.924312063231188;25.924312063231188
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
40.75273189647754;40.75273189647754;40.75273189647754
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
34.42394634583566;34.42394634583566;34.42394634583566
