Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
75;229.2033051032737;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;5443.854021196059;12018.860955899145;12018.860955899145;26150.408009912266;39343.31172740694;39343.31172740694;3230.083003859309;11743.404444708187;11743.404444708187;992.5198201034608;0.0;13700.0;1.0668811955527961;0.0;15403.0;-41817.93172697018;-40237.439999999995;-1580.491726970186;0.0;17629.87;5999.99999999831;-5630.772836562952
76;233.42588674388617;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;5575.809713514984;12018.860955899145;12018.860955899145;26678.230602714422;39343.31172740694;39343.31172740694;3335.6475531110063;11743.404444708187;11743.404444708187;961.626691060639;0.0;13700.0;1.1246401650693447;0.0;15403.0;-42552.439191066784;-40945.92;-1606.5191910667827;0.0;17629.87;5999.999999998408;-5630.772836562952
77;250.45756461414027;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;6108.04971342722;12018.860955899145;12018.860955899145;28807.189871462335;39343.31172740694;39343.31172740694;3761.439533957904;11743.404444708187;11743.404444708187;915.2483972971883;0.0;13700.0;1.5933508832148;0.0;15403.0;-45593.520856688076;-43879.68;-1713.8408566880719;0.0;17629.87;5999.999999998205;-5630.772836562952
78;281.39219324364126;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;7074.756985322126;12018.860955899145;12018.860955899145;32674.01755952864;39343.31172740694;39343.31172740694;4534.8053149100515;11743.404444708187;11743.404444708187;943.7365795278155;0.0;13700.0;96.85382512483412;0.0;15403.0;-51324.17025246414;-49410.24;-1913.9302524641407;0.0;17629.87;5999.99999999817;-5630.772836562952
79;304.6721810867281;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;7802.256703098534;12018.860955899145;12018.860955899145;35584.01535571965;39343.31172740694;39343.31172740694;5116.805060971976;11743.404444708187;11743.404444708187;872.414528226899;0.0;13700.0;699.1424506687573;0.0;15403.0;-56074.63408549976;-53996.159999999996;-2078.474085499767;0.0;17629.87;5999.999999999521;-5630.772836562952
80;319.7385459602829;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;8273.0806701979;12018.860955899145;12018.860955899145;37467.31050977546;39343.31172740694;39343.31172740694;5493.4642160972435;11743.404444708187;11743.404444708187;556.3703018880434;0.0;13700.0;1711.9127863313659;0.0;15403.0;-59502.138470282596;-57305.28;-2196.8584702825938;0.0;17629.87;5999.999999998271;-5630.772836562952
81;323.3278441340224;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;8385.246250929082;12018.860955899145;12018.860955899145;37915.97269059066;39343.31172740694;39343.31172740694;5583.196677078528;11743.404444708187;11743.404444708187;436.5472546681773;0.0;13700.0;2740.966504124233;0.0;15403.0;-61061.929363220755;-58809.6;-2252.3293632207583;0.0;17629.87;5999.999999999028;-5630.772836562952
82;325.1384859235529;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;8441.8288051801;12018.860955899145;12018.860955899145;38142.302924809774;39343.31172740694;39343.31172740694;5628.462720999999;11743.404444708187;11743.404444708187;355.5269805136727;0.0;13700.0;3785.4817005500986;0.0;15403.0;-62353.603117904066;-60054.72;-2298.8831179040662;0.0;17629.87;5999.999999999353;-5630.772836562952
83;325.7040918391801;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;8459.503996141255;12018.860955899145;12018.860955899145;38213.003620574826;39343.31172740694;39343.31172740694;5642.6028720285;11743.404444708187;11743.404444708187;349.9209963805739;0.0;13700.0;4916.205146512319;0.0;15403.0;-63581.23661740895;-61237.439999999995;-2343.796617408952;0.0;17629.87;5999.999999995556;-5630.772836562952
84;321.2598760344209;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;8320.622236703022;12018.860955899145;12018.860955899145;37657.476753499526;39343.31172740694;39343.31172740694;5531.4974689637775;11743.404444708187;11743.404444708187;427.21650571116066;0.0;13700.0;5694.107595234601;0.0;15403.0;-63630.920546079615;-61282.56;-2348.360546079617;0.0;17629.87;5999.999999999338;-5630.772836562952
85;313.6518827967625;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;8082.872416461031;12018.860955899145;12018.860955899145;36706.477819963395;39343.31172740694;39343.31172740694;5341.297621853727;11743.404444708187;11743.404444708187;532.9409073663741;0.0;13700.0;5866.6668319905975;0.0;15403.0;-62530.2555840021;-60217.92;-2312.3355840021045;0.0;17629.87;5999.999999998857;-5630.772836562952
86;303.8818229254992;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;7777.558003065508;12018.860955899145;12018.860955899145;35485.22063366365;39343.31172740694;39343.31172740694;5097.046103339427;11743.404444708187;11743.404444708187;594.081770121061;0.0;13700.0;5502.816527157807;0.0;15403.0;-60456.723024253166;-58215.36;-2241.3630242531653;0.0;17629.87;5999.999999999686;-5630.772836562952
87;303.2715519613962;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;7758.487030451461;12018.860955899145;12018.860955899145;35408.93679847197;39343.31172740694;39343.31172740694;5081.789326677938;11743.404444708187;11743.404444708187;721.2975274955132;0.0;13700.0;4727.890325106128;0.0;15403.0;-59698.40099517287;-57484.799999999996;-2213.6009951728806;0.0;17629.87;5999.999999998278;-5630.772836562952
88;300.4676471511006;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;7670.86499051538;12018.860955899145;12018.860955899145;35058.44880008419;39343.31172740694;39343.31172740694;5011.6916989280535;11743.404444708187;11743.404444708187;929.3760702116541;0.0;13700.0;3701.7006555258417;0.0;15403.0;-58372.08220241969;-56206.079999999994;-2166.0022024196974;0.0;17629.87;5999.999999997744;-5630.772836562952
