Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
11;151.95153854986094;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;2166.393355757684;2166.3933557577525;2166.3933557577525;9602.514708851915;9602.514708851957;9602.514708851957;865.8597307616053;1196.4099511772965;1196.4099511772965;2181.683658098061;0.0;5315.0;198.1808976187019;0.0;8788.0;-12309.267413078967;-11834.88;-474.3874130789686;0.0;15468.46;-2705.365249059007;2503.700065476736
12;137.1239100313026;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;2166.3933557576042;2166.3933557577525;2166.3933557577525;9602.514708851902;9602.514708851957;9602.514708851957;618.7325721731991;1196.4099511772965;1196.4099511772965;2299.5045021107035;0.0;5315.0;327.31787941071025;0.0;8788.0;-12309.098105819716;-11832.96;-476.1381058197166;0.0;15468.46;-2705.3651981446637;2503.700065476736
13;116.03331039064939;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1907.2838478094104;2166.3933557577525;2166.3933557577525;9602.514708851848;9602.514708851957;9602.514708851957;267.21943698976327;1196.4099511772965;1196.4099511772965;2645.959593181647;0.0;5315.0;434.2739933605002;0.0;8788.0;-12151.883385507317;-11679.359999999999;-472.5233855073176;0.0;15468.46;-2705.367869435661;2503.700065476736
14;111.51778432447685;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1766.1830458951463;2166.3933557577525;2166.3933557577525;9602.514708851817;9602.514708851957;9602.514708851957;191.96351801688613;1196.4099511772965;1196.4099511772965;2731.7677740063464;0.0;5315.0;442.6437691337172;0.0;8788.0;-12067.52753708509;-11597.76;-469.7675370850895;0.0;15468.46;-2667.5452013309214;2503.700065476736
15;105.08895657726266;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1565.2829581686324;2166.3933557577525;2166.3933557577525;9602.514708851711;9602.514708851957;9602.514708851957;84.81654280022546;1196.4099511772965;1196.4099511772965;2642.9042785818638;0.0;5315.0;536.0273777262036;0.0;8788.0;-11830.554315637377;-11369.279999999999;-461.27431563737804;0.0;15468.46;-2600.991450333038;2503.700065476736
16;103.83925313747717;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1526.2614288568514;2166.3933557577525;2166.3933557577525;9602.514708851668;9602.514708851957;9602.514708851957;63.99548152549191;1196.4099511772965;1196.4099511772965;2560.911943904807;0.0;5315.0;633.744028856916;0.0;8788.0;-11563.979576994288;-11112.96;-451.0195769942899;0.0;15468.46;-2823.4467589559804;2503.700065476736
17;108.71438427952818;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1678.5767877699723;2166.3933557577525;2166.3933557577525;9602.514708851784;9602.514708851957;9602.514708851957;145.24018179510037;1196.4099511772965;1196.4099511772965;2368.963452724477;0.0;5315.0;344.80397647438724;0.0;8788.0;-11379.61525791742;-10936.32;-443.29525791742026;0.0;15468.46;-2760.4837724308027;2503.700065476736
18;123.77327984030941;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;2149.1671150561415;2166.3933557577525;2166.3933557577525;9602.514708851879;9602.514708851957;9602.514708851957;396.2217430126563;1196.4099511772965;1196.4099511772965;2374.3091542400693;0.0;5315.0;20.656991425576248;0.0;8788.0;-11752.435598719316;-11296.32;-456.11559871931655;0.0;15468.46;-2790.4340412850124;2503.700065476736
19;124.11014750197997;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;2159.694844317015;2166.3933557577525;2166.3933557577525;9602.514708851879;9602.514708851957;9602.514708851957;401.8363596946807;1196.4099511772965;1196.4099511772965;2538.175127919083;0.0;5315.0;0.0;0.0;8788.0;-12192.848633922127;-11719.68;-473.1686339221271;0.0;15468.46;-2509.3723144071087;2503.700065476736
20;117.19489620256797;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1943.5885709653535;2166.3933557577525;2166.3933557577525;9602.514708851853;9602.514708851957;9602.514708851957;286.58117632485454;1196.4099511772965;1196.4099511772965;2445.4957863469576;0.0;5315.0;0.0;0.0;8788.0;-11778.180376901753;-11320.32;-457.8603769017538;0.0;15468.46;-2500.000000008584;2503.700065476736
21;101.36959477167974;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1449.0897097096333;2166.3933557577525;2166.3933557577525;9602.514708851515;9602.514708851957;9602.514708851957;22.835673286871337;1196.4099511772965;1196.4099511772965;2506.2328029089767;0.0;5315.0;0.0;0.0;8788.0;-11059.777382020493;-10628.16;-431.61738202049366;0.0;15468.46;-2520.8940666672142;2503.700065476736
22;95.18688716289869;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1255.8994837714208;2166.3933557577525;2166.3933557577525;9399.986697190152;9602.514708851957;9602.514708851957;0.0;1196.4099511772965;1196.4099511772965;2544.356095296486;0.0;5315.0;0.0;0.0;8788.0;-10409.082494650042;-10002.24;-406.8424946500411;0.0;15468.46;-2791.157198995014;2503.700065476736
23;92.27896226640166;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1165.0796743762642;2166.3933557577525;2166.3933557577525;9037.944117419285;9602.514708851957;9602.514708851957;0.0;1196.4099511772965;1196.4099511772965;2533.976817929453;0.0;5315.0;0.0;0.0;8788.0;-10214.565429396378;-9815.039999999999;-399.52542939637965;0.0;15468.46;-2522.4302965272987;2503.700065476736
24;91.09138784955817;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1127.8550732057215;2166.3933557577525;2166.3933557577525;8886.426572184397;9602.514708851957;9602.514708851957;0.0;1196.4099511772965;1196.4099511772965;2463.6210555482617;0.0;5315.0;0.0;0.0;8788.0;-9977.902703059535;-9587.52;-390.3827030595343;0.0;15468.46;-2500.0000000541468;2503.700065476736
25;97.68506601463656;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1333.9180562635786;2166.3933557577525;2166.3933557577525;9602.514708849794;9602.514708851957;9602.514708851957;0.0;1196.4099511772965;1196.4099511772965;390.1658724603576;0.0;5315.0;0.0;0.0;8788.0;-8417.769057541118;-8088.96;-328.80905754111814;0.0;15468.46;-2908.829357098831;2503.700065476736
26;95.67801722257778;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1271.183951170259;2166.3933557577525;2166.3933557577525;9459.639785093897;9602.514708851957;9602.514708851957;0.0;1196.4099511772965;1196.4099511772965;488.6569059762427;0.0;5315.0;0.0;0.0;8788.0;-8162.183105096456;-7843.2;-318.9831050964562;0.0;15468.46;-3057.297715439354;2503.700065476736
27;95.33747543634045;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1260.5291743592425;2166.3933557577525;2166.3933557577525;9416.719576864138;9602.514708851957;9602.514708851957;0.0;1196.4099511772965;1196.4099511772965;498.789999720847;0.0;5315.0;0.0;0.0;8788.0;-8051.3167491918475;-7736.639999999999;-314.676749191848;0.0;15468.46;-3124.7227399148164;2503.700065476736
