Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
11;88.67413290533507;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;1052.4284456441562;1273.5954958457571;1273.5954958457571;6778.615599876233;6778.615599875201;6778.615599875201;0.0;14347.429146188942;14347.429146188942;2229.3351441;0.0;13700.0;901.557444467;0.0;15403.0;-13899.110164920246;-13354.988159999999;-544.1220049202469;0.0;17629.87;2937.174866756315;-4769.76718520467
12;567.1118677603168;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;1273.595495845682;1273.5954958457571;1273.5954958457571;6778.615599875845;6778.615599875201;6778.615599875201;11677.48460618392;14347.429146188942;14347.429146188942;1370.137;0.0;13700.0;0.0;0.0;15403.0;-18892.258571891485;-18240.009599999998;-652.2489718914904;0.0;17629.87;-2207.5803380596176;-4769.76718520467
13;74.08653224374996;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;596.4541259693513;1273.5954958457571;1273.5954958457571;6760.816558066993;6778.615599875201;6778.615599875201;0.0;14347.429146188942;14347.429146188942;2228.119228;0.0;13700.0;1285.980651119;0.0;15403.0;-13871.370563191871;-13326.3888;-544.9817631918705;0.0;17629.87;2999.999999998545;-4769.76718520467
14;74.42554875905094;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;606.7587203646642;1273.5954958457571;1273.5954958457571;6778.615594820081;6778.615599875201;6778.615599875201;0.0;14347.429146188942;14347.429146188942;2230.9175352;0.0;13700.0;1161.147561321;0.0;15403.0;-13777.442876295127;-13236.19632;-541.2465562951281;0.0;17629.87;2999.9999999994043;-4769.76718520467
15;76.00600594786741;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;656.1479838640731;1273.5954958457571;1273.5954958457571;6778.615599874948;6778.615599875201;6778.615599875201;0.0;14347.429146188942;14347.429146188942;2222.7375803;0.0;13700.0;824.351508879;0.0;15403.0;-13481.856137296314;-12952.42656;-529.4295772963145;0.0;17629.87;2999.999999999214;-4769.76718520467
16;87.09762462884966;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;1002.7610632174792;1273.5954958457571;1273.5954958457571;6778.615599875352;6778.615599875201;6778.615599875201;0.0;14347.429146188942;14347.429146188942;2264.5532682999997;0.0;13700.0;374.735782459;0.0;15403.0;-13420.669178282633;-12895.07376;-525.5954182826333;0.0;17629.87;2999.9999999986276;-4769.76718520467
17;114.4093779252435;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;1273.5954958457457;1273.5954958457571;1273.5954958457571;6778.615599875397;6778.615599875201;6778.615599875201;360.300070511657;14347.429146188942;14347.429146188942;2408.5720523;0.0;13700.0;54.526096298;0.0;15403.0;-13435.525909873408;-12912.8784;-522.6475098734079;0.0;17629.87;2559.917901048263;-4769.76718520467
18;523.5377676371785;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;1273.595495845689;1273.5954958457571;1273.5954958457571;6778.615599875051;6778.615599875201;6778.615599875201;10588.130548032072;14347.429146188942;14347.429146188942;1370.137;0.0;13700.0;0.0;0.0;15403.0;-17010.484882541892;-16416.009599999998;-594.4752825418949;0.0;17629.87;-2999.999999999815;-4769.76718520467
19;563.042334966147;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;1273.595495845703;1273.5954958457571;1273.5954958457571;6778.615599875647;6778.615599875201;6778.615599875201;11575.744836402575;14347.429146188942;14347.429146188942;1370.137;0.0;13700.0;0.0;0.0;15403.0;-17998.099168824843;-17376.009599999998;-622.0895688248474;0.0;17629.87;-2999.9999999999995;-4769.76718520467
20;126.10343606608522;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;1273.59549584546;1273.5954958457571;1273.5954958457571;6778.615599875992;6778.615599875201;6778.615599875201;652.6515342449417;14347.429146188942;14347.429146188942;2581.8623659;0.0;13700.0;0.0;0.0;15403.0;-13360.248013779405;-12842.03232;-518.2156937794051;0.0;17629.87;2073.5243241201024;-4769.76718520467
21;97.97193699684324;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;1273.5954956957498;1273.5954958457571;1273.5954958457571;6778.615599875972;6778.615599875201;6778.615599875201;0.0;14347.429146188942;14347.429146188942;2508.2343326;0.0;13700.0;0.0;0.0;15403.0;-12695.829969238486;-12199.94928;-495.88068923848596;0.0;17629.87;2135.3858975173634;-4769.76718520467
22;79.80524074940973;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;775.2755835724519;1273.5954958457571;1273.5954958457571;6778.615599875858;6778.615599875201;6778.615599875201;0.0;14347.429146188942;14347.429146188942;2383.617242;0.0;13700.0;0.0;0.0;15403.0;-11930.174507840642;-11462.11488;-468.059627840642;0.0;17629.87;1992.667418528661;-4769.76718520467
23;72.97377783903463;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;561.7877235033853;1273.5954958457571;1273.5954958457571;6625.013945575166;6778.615599875201;6778.615599875201;0.0;14347.429146188942;14347.429146188942;2265.2472144;0.0;13700.0;0.0;0.0;15403.0;-11226.917827301277;-10785.71184;-441.20598730127676;0.0;17629.87;1774.8703351325676;-4769.76718520467
24;69.80481675689472;60000.0070672059;22399.640241910725;17629.87;22399.640241910725;462.7459116815113;1273.5954958457571;1273.5954958457571;6228.532063873251;6778.615599875201;6778.615599875201;0.0;14347.429146188942;14347.429146188942;2169.1587024;0.0;13700.0;0.0;0.0;15403.0;-10447.230249423146;-10036.34688;-410.88336942314635;0.0;17629.87;1586.7948098655215;-4769.76718520467
