Design;Contract;Exporter;Importer;Timestep;Weight_h;Strike_K_EUR_per_MWh;Capacity_MW;CB_Flow_MW;P_Exporter_EUR_per_MWh;P_Importer_EUR_per_MWh;Category;Category_Label;HedgeRequirement_EUR_per_h;RO_Repayment_EUR_per_h;HedgeShortfall_EUR_per_h;ShortfallType;CR_Corridor_EUR_per_h;CR_Alloc_EUR_per_h;FTRlike_Omega_EUR_per_h;OmegaType;Shortfall_Exists;Shortfall_Hedged;Shortfall_Covered_EUR_per_h;Shortfall_Uncovered_EUR_per_h;Shortfall_Coverage_Ratio;Weighted_Delta_EUR;Weighted_CR_Corridor_EUR;Weighted_CR_Alloc_EUR;Weighted_Omega_EUR;Weighted_Covered_EUR;Weighted_Uncovered_EUR
NTC;A→B;A;B;6;416.0;150.0;3442.6672225080833;-1070.9683160810237;72.1380402738128;72.12829868495537;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;10.432933014603478;-33.53704865464997;-33.53704865464997;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;4340.100134075046;-13951.412240334388;-13951.412240334388;0.0;0.0
NTC;A→B;A;B;7;416.0;150.0;3442.6672225080833;-1659.7920586559874;86.63631591057167;86.61518388792757;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;35.07476336800918;-72.75052170212818;-72.75052170212818;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;14591.101561091818;-30264.217028085324;-30264.217028085324;0.0;0.0
NTC;A→B;A;B;8;416.0;150.0;3442.6672225080833;-2336.8534300160363;118.51389096658062;118.49058754148385;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;54.456688868509985;-80.22593775282415;-80.22593775282415;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;22653.982569300155;-33373.990105174846;-33373.990105174846;0.0;0.0
NTC;A→B;A;B;9;416.0;150.0;3442.6672225080833;-2676.0543361051687;133.21139078164686;133.1880867811886;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;62.36277147494395;-80.22791853099135;-80.22791853099135;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;25942.91293357668;-33374.8141088924;-33374.8141088924;0.0;0.0
NTC;A→B;A;B;10;416.0;150.0;3442.6672225080833;-2573.6205279277306;108.97732470217373;108.95402044260938;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;59.976320802981036;-80.22881054702661;-80.22881054702661;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;24950.14945404011;-33375.18518756307;-33375.18518756307;0.0;0.0
NTC;A→B;A;B;11;416.0;150.0;3442.6672225080833;-2577.0296909103376;79.81623095829451;79.79509714921535;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;54.462453479025676;-72.75667180356773;-72.75667180356773;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;22656.38064727468;-30266.775470284174;-30266.775470284174;0.0;0.0
NTC;A→B;A;B;12;2.0;150.0;3442.6672225080833;-1201.590768678703;450.68263127414326;450.6593192295479;2;Cat 2 — Scarcity in both zones;1.0350699834531589e6;1.0351502390649769e6;-80.25561181805097;Over-compensated;28.011537584790634;-80.25561181803474;1.6228796084760688e-11;Exactly funded;false;false;0.0;0.0;NaN;-160.51122363610193;56.02307516958127;-160.51122363606947;3.2457592169521376e-11;0.0;0.0
NTC;A→B;A;B;13;416.0;150.0;3442.6672225080833;-2913.673719405162;70.20220163848727;70.175605231645;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;77.49325164693926;-91.5625780723839;-91.5625780723839;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;32237.19268512673;-38090.0324781117;-38090.0324781117;0.0;0.0
NTC;A→B;A;B;14;416.0;150.0;3442.6672225080833;-3088.1786069037134;70.32090884379657;70.2944552590658;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;81.69339444149125;-91.07088907047626;-91.07088907047626;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;33984.452087660364;-37885.489853318126;-37885.489853318126;0.0;0.0
NTC;A→B;A;B;15;416.0;150.0;3442.6672225080833;-3098.3578496648984;72.45815176818412;72.43593622782375;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;68.83169386012415;-76.48071262897831;-76.48071262897831;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;28633.984645811644;-31815.976453654977;-31815.976453654977;0.0;0.0
NTC;A→B;A;B;16;416.0;150.0;3442.6672225080833;-2797.276295465791;79.8664753854485;79.84534193394143;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;59.116102942099666;-72.7554408018502;-72.7554408018502;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;24592.29882391346;-30266.263373569684;-30266.263373569684;0.0;0.0
NTC;A→B;A;B;17;416.0;150.0;3442.6672225080833;-2412.490213389279;107.81683745449108;107.79353325103168;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;56.22116277664361;-80.22861739634804;-80.22861739634804;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;23388.00371508374;-33375.10483688078;-33375.10483688078;0.0;0.0
NTC;A→B;A;B;18;2.0;150.0;3442.6672225080833;-529.5766338890489;541.580545359035;503.3858637111568;2;Cat 2 — Scarcity in both zones;1.216589929896108e6;1.3480815084793896e6;-131491.5785832815;Over-compensated;20227.010939547177;-131491.57858328134;1.4551915228366852e-10;Exactly funded;false;false;0.0;0.0;NaN;-262983.157166563;40454.021879094355;-262983.1571665627;2.9103830456733704e-10;0.0;0.0
NTC;A→B;A;B;19;2.0;150.0;3442.6672225080833;1059.2028508963324;574.8889185315559;523.2066753447496;2;Cat 2 — Scarcity in both zones;1.284826388430585e6;1.4627511530354947e6;-177924.7646049098;Over-compensated;-54741.9793241828;-177924.7646049098;0.0;Exactly funded;false;false;0.0;0.0;NaN;-355849.5292098196;-109483.9586483656;-355849.5292098196;0.0;0.0;0.0
NTC;A→B;A;B;20;416.0;150.0;3442.6672225080833;-2031.638813881254;125.80861219037695;125.78530787043792;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;47.34596091923912;-80.22901839693837;-80.22901839693837;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;19695.919742403472;-33375.271653126365;-33375.271653126365;0.0;0.0
NTC;A→B;A;B;21;416.0;150.0;3442.6672225080833;-2058.202131668082;98.14218058366367;98.12084153501996;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;43.92007540625408;-73.4632433252081;-73.4632433252081;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;18270.751369001697;-30560.70922328657;-30560.70922328657;0.0;0.0
NTC;A→B;A;B;22;416.0;150.0;3442.6672225080833;-1923.3123132895541;80.22478776616052;80.20365528933776;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;40.64435288351462;-72.75208528811723;-72.75208528811723;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;16908.05079954208;-30264.867479856766;-30264.867479856766;0.0;0.0
NTC;A→B;A;B;23;420.0;150.0;3442.6672225080833;-1746.7174676208401;72.74217196269416;72.72773670861432;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;25.21431045080546;-49.69577606924901;-49.69577606924901;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;10590.010389338293;-20872.225949084583;-20872.225949084583;0.0;0.0
NTC;A→B;A;B;24;420.0;150.0;3442.6672225080833;-1529.035796223417;69.38978465180833;69.3766731397329;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;20.047971305941843;-45.138572859587796;-45.138572859587796;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;8420.147948495574;-18958.200601026874;-18958.200601026874;0.0;0.0
