Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
11;79.81961471230674;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;775.6084378278199;1571.46458992296;1571.46458992296;7114.106293801859;7114.106293898795;7114.106293898795;0.0;3456.6613476011594;3456.6613476011594;2856.1538443;0.0;8300.0;1591.7045236959998;0.0;18662.0;-11542.454496762415;-11089.607999999998;-452.8464967624166;0.0;12142.21;-795.1185387016563;0.0
12;468.2015572090237;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;1571.4645899194616;1571.46458992296;1571.46458992296;7114.106293898362;7114.106293898795;7114.106293898795;3456.661347451928;3456.6613476011594;3456.6613476011594;830.083;0.0;8300.0;1882.46897174;0.0;18662.0;-16124.16130091207;-15552.009599999903;-572.1517009121671;9.640643838793039e-11;12142.21;1269.3770977505628;0.0
13;70.18341871945951;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;474.47659933958755;1571.46458992296;1571.46458992296;6272.744692313043;7114.106293898795;7114.106293898795;0.0;3456.6613476011594;3456.6613476011594;3217.6923076000003;0.0;8300.0;2082.273357486;0.0;18662.0;-11353.652940637452;-10907.1618432;-446.4910974374521;0.0;12142.21;-693.5338761161335;0.0
14;70.30244079035106;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;478.1965592983722;1571.46458992296;1571.46458992296;6287.634204295054;7114.106293898795;7114.106293898795;0.0;3456.6613476011594;3456.6613476011594;3400.1923092;0.0;8300.0;1853.2386811400002;0.0;18662.0;-11490.668015108886;-11038.8018432;-451.86617190888575;0.0;12142.21;-528.5934850012078;0.0
15;72.44306544875383;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;545.0927566737223;1571.46458992296;1571.46458992296;6555.258826735905;7114.106293898795;7114.106293898795;0.0;3456.6613476011594;3456.6613476011594;3565.961536;0.0;8300.0;1297.8632157260001;0.0;18662.0;-11730.420960519712;-11269.367999999999;-461.052960519713;0.0;12142.21;-233.75492684216573;0.0
16;79.8698592720754;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;777.1785805225676;1571.46458992296;1571.46458992296;7114.106293811373;7114.106293898795;7114.106293898795;0.0;3456.6613476011594;3456.6613476011594;3709.2307659;0.0;8300.0;1020.944702666;0.0;18662.0;-12035.256692963187;-11563.0818432;-472.1748497631868;0.0;12142.21;-586.2035859117562;0.0
17;107.87894763302151;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;1571.46458988859;1571.46458992296;1571.46458992296;7114.106293898681;7114.106293898795;7114.106293898795;98.48587082691125;3456.6613476011594;3456.6613476011594;3789.0384614;0.0;8300.0;523.645213294;0.0;18662.0;-12651.485053540875;-12158.5421568;-492.94289674087565;0.0;12142.21;-445.2559804832208;0.0
18;4000.0368097843634;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;1571.4645899226425;1571.46458992296;1571.46458992296;7114.106293898662;7114.106293898795;7114.106293898795;3456.661347601958;3456.6613476011594;3456.6613476011594;830.083;0.0;8300.0;0.0;0.0;18662.0;-17137.905027051;-17137.89865258765;-0.006374463348282162;142.11094741234774;12142.21;4165.628892058635;0.0
19;4000.056880763857;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;1571.4645899226973;1571.46458992296;1571.46458992296;7114.106293898855;7114.106293898795;7114.106293898795;3456.661347601958;3456.6613476011594;3456.6613476011594;830.083;0.0;8300.0;0.0;0.0;18662.0;-15266.83049739588;-15266.82456344567;-0.005933950209715261;333.1754365543293;12142.21;2294.525614149835;0.0
20;125.87071538957355;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;1571.4645899225582;1571.46458992296;1571.46458992296;7114.106293898882;7114.106293898795;7114.106293898795;323.38296802485814;3456.6613476011594;3456.6613476011594;3702.8846191;0.0;8300.0;0.0;0.0;18662.0;-12530.415690611992;-12044.359382399998;-486.0563082119932;0.0;12142.21;-181.42338483272786;0.0
21;98.16382046847181;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;1348.865120142793;1571.46458992296;1571.46458992296;7114.106293898862;7114.106293898795;7114.106293898795;0.0;3456.6613476011594;3456.6613476011594;3685.7692306;0.0;8300.0;0.0;0.0;18662.0;-11934.452023249942;-11468.331696;-466.1203272499429;0.0;12142.21;-214.28843339288156;0.0
22;80.22817573442867;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;788.3759725856073;1571.46458992296;1571.46458992296;7114.106293859756;7114.106293898795;7114.106293898795;0.0;3456.6613476011594;3456.6613476011594;3657.884617;0.0;8300.0;0.0;0.0;18662.0;-11347.240925275202;-10902.0978432;-445.14308207520355;0.0;12142.21;-213.12589341436177;0.0
23;72.73211994970137;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;554.1261258390934;1571.46458992296;1571.46458992296;6591.4178798832145;7114.106293898795;7114.106293898795;0.0;3456.6613476011594;3456.6613476011594;3583.6538492;0.0;8300.0;0.0;0.0;18662.0;-10661.630305179591;-10242.6147648;-419.01554037959073;0.0;12142.21;-67.56736734288182;0.0
24;69.38058171603026;65322.56013515342;12142.232231423532;12142.21;12142.232231423532;449.3906297726585;1571.46458992296;1571.46458992296;6172.4807777341575;7114.106293898795;7114.106293898795;0.0;3456.6613476011594;3456.6613476011594;3423.8461555;0.0;8300.0;0.0;0.0;18662.0;-9920.214441210806;-9530.01784608;-390.19659513080626;0.0;12142.21;-125.50299342789408;0.0
