Design;Contract;Exporter;Importer;Timestep;Weight_h;Strike_K_EUR_per_MWh;Capacity_MW;P_Exporter_EUR_per_MWh;P_Importer_EUR_per_MWh;Category;Category_Label;HedgeRequirement_EUR_per_h;RO_Repayment_EUR_per_h;HedgeShortfall_EUR_per_h;ShortfallType;CR_Alloc_EUR_per_h;FTRlike_Omega_EUR_per_h;OmegaType;Shortfall_Exists;Shortfall_Hedged;Shortfall_Covered_EUR_per_h;Shortfall_Uncovered_EUR_per_h;Shortfall_Coverage_Ratio;Weighted_Delta_EUR;Weighted_CR_Alloc_EUR;Weighted_Omega_EUR;Weighted_Covered_EUR;Weighted_Uncovered_EUR
FBMC;A→C;A;C;9;43.53428519818616;500.0;5630.772836562952;787.8607820855106;348.4721331633171;3;Cat 3 — Scarcity in exporting zone only;0.0;1.62087867247886e6;-1.62087867247886e6;Over-compensated;-2.4740976690451824e6;-853218.9965663224;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-7.056379439935207e7;-1.0770807353238057e8;-3.71442791330285e7;0.0;0.0
FBMC;A→C;A;C;10;43.53428519818616;500.0;5630.772836562952;1060.2009694560754;339.4216573114329;3;Cat 3 — Scarcity in exporting zone only;0.0;3.1543644018295016e6;-3.1543644018295016e6;Over-compensated;-4.058544571980582e6;-904180.1701510805;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-1.3732299948825142e8;-1.7668583688615304e8;-3.9362837397901624e7;0.0;0.0
FBMC;A→C;A;C;11;43.53428519818616;500.0;5630.772836562952;773.1317569593015;150.38212265489122;3;Cat 3 — Scarcity in exporting zone only;0.0;1.5379428778891487e6;-1.5379428778891487e6;Over-compensated;-3.506561724820785e6;-1.9686188469316366e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-6.695324386454539e7;-1.5265565819339165e8;-8.570241432884626e7;0.0;0.0
FBMC;A→C;A;C;12;43.53428519818616;500.0;5630.772836562952;1005.4369102560107;132.61700551197347;3;Cat 3 — Scarcity in exporting zone only;0.0;2.8460004248658516e6;-2.8460004248658516e6;Over-compensated;-4.914650610844187e6;-2.0686501859783358e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-1.2389859417026897e8;-2.139558013419307e8;-9.005720717166172e7;0.0;0.0
FBMC;A→C;A;C;13;43.53428519818616;500.0;5630.772836562952;600.2753258461962;122.11051600664555;3;Cat 3 — Scarcity in exporting zone only;0.0;564627.5809522605;-564627.5809522605;Over-compensated;-2.6924374226448312e6;-2.1278098416925706e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-2.4580658139937654e7;-1.1721333863568938e8;-9.263268049575171e7;0.0;0.0
FBMC;A→C;A;C;14;43.53428519818616;500.0;5630.772836562952;550.7757774470186;111.51733455632721;3;Cat 3 — Scarcity in exporting zone only;0.0;285906.8684040383;-285906.8684040383;Over-compensated;-2.4733645084598437e6;-2.1874576400558054e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-1.2446751149221683e7;-1.0767615591036236e8;-9.522940476114069e7;0.0;0.0
FBMC;A→C;A;C;15;43.53428519818616;500.0;5630.772836562952;538.2601274493695;105.08842641733877;3;Cat 3 — Scarcity in exporting zone only;0.0;215434.08636534648;-215434.08636534648;Over-compensated;-2.439091447738927e6;-2.2236573613735805e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-9.378768957239661e6;-1.0618410271032321e8;-9.680533375308356e7;0.0;0.0
FBMC;A→C;A;C;16;43.53428519818616;500.0;5630.772836562952;503.09340152468116;103.83529281675762;3;Cat 3 — Scarcity in exporting zone only;0.0;17418.24127775707;-17418.24127775707;Over-compensated;-2.248131713290074e6;-2.230713472012317e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-758290.6834366949;-9.787080716945696e7;-9.711251648602027e7;0.0;0.0
FBMC;A→C;A;C;18;43.53428519818616;500.0;5630.772836562952;511.70759923208846;123.77284730319737;3;Cat 3 — Scarcity in exporting zone only;0.0;65922.83173740895;-65922.83173740895;Over-compensated;-2.184372463519987e6;-2.1184496317825783e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-2.8699033579283995e6;-9.509509380594362e7;-9.222519044801523e7;0.0;0.0
FBMC;A→C;A;C;19;43.53428519818616;500.0;5630.772836562952;528.5077627342433;124.1096463971929;3;Cat 3 — Scarcity in exporting zone only;0.0;160520.73603515892;-160520.73603515892;Over-compensated;-2.2770739286278877e6;-2.116553192592729e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-6.988155502777367e6;-9.913078582624066e7;-9.21426303234633e7;0.0;0.0
NTC;A→B;A;B;9;43.53428519818616;500.0;3443.0999429123794;565.2992123547467;170.60063203168195;3;Cat 3 — Scarcity in exporting zone only;0.0;224831.71433085177;-224831.71433085177;Over-compensated;-1.3589866593779416e6;-1.1341549450470898e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-9.78788797327642e6;-5.9162512809889585e7;-4.937462483661316e7;0.0;0.0
NTC;A→B;A;B;10;43.53428519818616;500.0;3443.0999429123794;954.4944627490203;165.58444141739918;3;Cat 3 — Scarcity in exporting zone only;0.0;1.5648698587451442e6;-1.5648698587451442e6;Over-compensated;-2.7162960494099087e6;-1.1514261906647645e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-6.81254907286564e7;-1.1825200689771734e8;-5.012651616906093e7;0.0;0.0
NTC;A→B;A;B;11;43.53428519818616;500.0;3443.0999429123794;878.9686139294623;154.73056762493073;3;Cat 3 — Scarcity in exporting zone only;0.0;1.3048268129861152e6;-1.3048268129861152e6;Over-compensated;-2.493623975886106e6;-1.1887971628999908e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-5.680470261077786e7;-1.0855813734326063e8;-5.175343473248277e7;0.0;0.0
NTC;A→B;A;B;12;43.53428519818616;500.0;3443.0999429123794;1109.9944042963564;139.9028141914904;3;Cat 3 — Scarcity in exporting zone only;0.0;2.1002716986096557e6;-2.1002716986096557e6;Over-compensated;-3.3401222985098436e6;-1.239850599900188e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-9.143382712095164e7;-1.4540983674014863e8;-5.397600961919698e7;0.0;0.0
NTC;A→B;A;B;13;43.53428519818616;500.0;3443.0999429123794;704.6579061333853;116.56331990758085;3;Cat 3 — Scarcity in exporting zone only;0.0;704657.624924426;-704657.624924426;Over-compensated;-2.0248684362611466e6;-1.3202108113367206e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-3.0676766010536455e7;-8.815119999299799e7;-5.747443398246154e7;0.0;0.0
NTC;A→B;A;B;14;43.53428519818616;500.0;3443.0999429123794;551.7990390254771;110.78422480010698;3;Cat 3 — Scarcity in exporting zone only;0.0;178349.26831153632;-178349.26831153632;Over-compensated;-1.5184580816828855e6;-1.3401088133713491e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-7.764307911562248e6;-6.61049871894734e7;-5.834067927791115e7;0.0;0.0
NTC;A→B;A;B;15;43.53428519818616;500.0;3443.0999429123794;539.2834318950607;104.94378633131478;3;Cat 3 — Scarcity in exporting zone only;0.0;135256.78211528598;-135256.78211528598;Over-compensated;-1.495474808845117e6;-1.360218026729831e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-5.888307327595785e6;-6.510442683496626e7;-5.921611950737047e7;0.0;0.0
NTC;A→B;A;B;16;43.53428519818616;500.0;3443.0999429123794;504.11709034710617;103.9883406501527;3;Cat 3 — Scarcity in exporting zone only;0.0;14175.553539086364;-14175.553539086364;Over-compensated;-1.3776832752391824e6;-1.363507721700096e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-617122.5906127429;-5.997645661703377e7;-5.9359334026421025e7;0.0;0.0
NTC;A→B;A;B;18;43.53428519818616;500.0;3443.0999429123794;512.7312256934888;123.03977077233274;3;Cat 3 — Scarcity in exporting zone only;0.0;43834.88245845589;-43834.88245845589;Over-compensated;-1.3417466261924745e6;-1.2979117437340186e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-1.9083202745753864e6;-5.8411980288367264e7;-5.650366001379188e7;0.0;0.0
NTC;A→B;A;B;19;43.53428519818616;500.0;3443.0999429123794;529.531252185373;126.30280475777899;3;Cat 3 — Scarcity in exporting zone only;0.0;101679.05271358878;-101679.05271358878;Over-compensated;-1.3883558443185964e6;-1.2866767916050076e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-4.426524879514779e6;-6.044107928313432e7;-5.601455440361954e7;0.0;0.0
NTC;A→C;A;C;9;43.53428519818616;500.0;3443.0999429123794;565.2992123547467;180.90638813850154;3;Cat 3 — Scarcity in exporting zone only;0.0;224831.71433085177;-224831.71433085177;Over-compensated;-1.323502911114882e6;-1.0986711967840302e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-9.78788797327642e6;-5.76177531931049e7;-4.782986521982848e7;0.0;0.0
