Timestep;Day;DayOfYear;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
50;3;138;101.88351456783631;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;1465.1098356630102;2792.8796582602117;2792.8796582602117;10235.439292900699;10670.46469872711;10670.46469872711;23.543932493221586;1116.838430358062;1116.838430358062;1425.0461564;0.0;8300.0;0.0;0.0;18662.0;-10649.139217347793;-10233.6;-415.5392173477914;0.0;17169.93;-2500.000000000025;2589.7472503802774
51;3;138;101.57919455537458;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;1455.5998352623876;2792.8796582602117;2792.8796582602117;10197.399291401027;10670.46469872711;10670.46469872711;19.73993233673047;1116.838430358062;1116.838430358062;1368.5423045;0.0;8300.0;0.0;0.0;18662.0;-10541.28136339123;-10129.92;-411.3613633912308;0.0;17169.93;-2500.000000000029;2589.7472503802774
52;3;138;101.42144133788484;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;1450.670047186132;2792.8796582602117;2792.8796582602117;10177.680139369098;10670.46469872711;10670.46469872711;17.768017116005886;1116.838430358062;1116.838430358062;1322.2538436;0.0;8300.0;0.0;0.0;18662.0;-10468.372047162908;-10059.84;-408.5320471629079;0.0;17169.93;-2500.000000000024;2589.7472503802774
53;3;138;102.29350367625133;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;1477.9180453431388;2792.8796582602117;2792.8796582602117;10286.465615107394;10670.46469872711;10670.46469872711;28.668334628897618;1116.838430358062;1116.838430358062;1291.6076954999999;0.0;8300.0;0.0;0.0;18662.0;-10567.17939219834;-10154.88;-412.29939219834233;0.0;17169.93;-2517.4804493153038;2589.7472503802774
54;3;138;107.65123895932066;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;1645.338887248238;2792.8796582602117;2792.8796582602117;10670.464698698317;10670.46469872711;10670.46469872711;95.63905902615869;1116.838430358062;1116.838430358062;1242.4461564;0.0;8300.0;6.06515;0.0;18662.0;-10905.24771111569;-10480.32;-424.9277111156892;0.0;17169.93;-2754.706702467109;2589.7472503802774
55;3;138;119.13210840565836;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;2004.1160929367338;2792.8796582602117;2792.8796582602117;10670.464698727941;10670.46469872711;10670.46469872711;239.14993049962104;1116.838430358062;1116.838430358062;1128.8000000000002;0.0;8300.0;273.86485;0.0;18662.0;-11642.113958121688;-11189.76;-452.353958121689;0.0;17169.93;-2674.2820752349694;2589.7472503802774
56;3;138;109.0843165763114;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;1690.1225359124408;2792.8796582602117;2792.8796582602117;10670.464698727397;10670.46469872711;10670.46469872711;113.55252663129248;1116.838430358062;1116.838430358062;1048.9923045;0.0;8300.0;1073.065;0.0;18662.0;-11721.200042935887;-11264.64;-456.56004293588774;0.0;17169.93;-2874.9974858375685;2589.7472503802774
57;3;138;94.36505546502782;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;1230.1920565670262;2792.8796582602117;2792.8796582602117;9296.56431700805;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;953.8615391;0.0;8300.0;2448.92095;0.0;18662.0;-11139.478306381683;-10704.0;-435.47830638168375;0.0;17169.93;-2790.0590731893044;2589.7472503802774
58;3;138;81.30776688437545;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;822.1177241209616;2792.8796582602117;2792.8796582602117;7663.470822268932;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;767.75;0.0;8300.0;4458.3518;0.0;18662.0;-10211.690346225427;-9811.199999999999;-400.49034622542877;0.0;17169.93;-3499.9999999998895;2589.7472503802774
59;3;138;65.41951391355967;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;325.6098108229032;2792.8796582602117;2792.8796582602117;5677.439234831628;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;625.3730782;0.0;8300.0;6418.32835;0.0;18662.0;-9546.75047383579;-9170.88;-375.8704738357899;0.0;17169.93;-3500.0;2589.7472503802774
60;3;138;53.45524124792658;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;0.0;2792.8796582602117;2792.8796582602117;4181.90515599031;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;513.6423045;0.0;8300.0;8005.5314499999995;0.0;18662.0;-9201.078910490336;-8837.76;-363.3189104903355;0.0;17169.93;-3499.999999999987;2589.7472503802774
61;3;138;45.704321259152216;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;0.0;2792.8796582602117;2792.8796582602117;3213.0401573937834;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;390.1;0.0;8300.0;9070.6651;0.0;18662.0;-9173.805257393804;-8810.88;-362.925257393805;0.0;17169.93;-3499.9999999999905;2589.7472503802774
62;3;138;43.72940561471343;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;0.0;2792.8796582602117;2792.8796582602117;2966.1757018388757;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;298.16153909999997;0.0;8300.0;9777.48835;0.0;18662.0;-9541.825590938886;-9164.16;-377.66559093888725;0.0;17169.93;-3500.000000000002;2589.7472503802774
63;3;138;45.31693806136032;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;0.0;2792.8796582602117;2792.8796582602117;3164.617257669806;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;246.12692180000002;0.0;8300.0;9982.770349999999;0.0;18662.0;-9893.514529469821;-9502.08;-391.43452946982165;0.0;17169.93;-3499.999999999971;2589.7472503802774
