Timestep;Day;DayOfYear;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
88;4;230;300.46763791539263;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;7670.864393229965;12006.12127555782;12006.12127555782;35058.449787322694;39329.66255027347;39329.66255027347;5011.691310415569;11686.8210337932;11686.8210337932;929.3760702116541;0.0;13700.0;3701.7006555258417;0.0;15403.0;-58372.082207673855;-56206.079999999994;-2166.002207673859;0.0;17629.87;6000.0;-3443.0999429123794
89;4;230;307.91581742448875;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;7903.620024823745;12006.12127555782;12006.12127555782;35989.472072499266;39329.66255027347;39329.66255027347;5197.89580936977;11686.8210337932;11686.8210337932;1019.3620898393536;0.0;13700.0;2500.6201457304524;0.0;15403.0;-58610.97013295111;-56440.32;-2170.6501329511116;0.0;17629.87;5999.999999999997;-3443.0999429123794
90;4;230;315.1937000385864;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;8131.053884075773;12006.12127555782;12006.12127555782;36899.20720635426;39329.66255027347;39329.66255027347;5379.84288882981;11686.8210337932;11686.8210337932;1333.4231923430905;0.0;13700.0;1300.7804579353676;0.0;15403.0;-59044.30761987548;-56861.759999999995;-2182.547619875482;0.0;17629.87;5999.999999999989;-3443.0999429123794
91;4;230;311.66033448005305;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;8020.636202004553;12006.12127555782;12006.12127555782;36457.536570663135;39329.66255027347;39329.66255027347;5291.508745578247;11686.8210337932;11686.8210337932;1611.6349002241752;0.0;13700.0;428.94864685514943;0.0;15403.0;-57810.265055768905;-55671.36;-2138.905055768901;0.0;17629.87;5999.99999999999;-3443.0999429123794
92;4;230;304.8569165502866;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;7808.029370157855;12006.12127555782;12006.12127555782;35607.10948083171;39329.66255027347;39329.66255027347;5121.423286301853;11686.8210337932;11686.8210337932;1606.3025143031484;0.0;13700.0;41.330194118196935;0.0;15403.0;-56184.19483643076;-54101.759999999995;-2082.4348364307652;0.0;17629.87;5999.999999999995;-3443.0999429123794
93;4;230;294.27212681369843;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;7477.254650980984;12006.12127555782;12006.12127555782;34284.01104363101;39329.66255027347;39329.66255027347;4856.803522455913;11686.8210337932;11686.8210337932;1634.6609998643971;0.0;13700.0;1.144557051109534;0.0;15403.0;-54253.87476521309;-52237.439999999995;-2016.4347652130948;0.0;17629.87;6000.000000001711;-3443.0999429123794
94;4;230;275.20661436039575;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;6881.456487224215;12006.12127555782;12006.12127555782;31900.85955429872;39329.66255027347;39329.66255027347;4380.165121074164;11686.8210337932;11686.8210337932;1567.6214090657284;0.0;13700.0;0.9433965021036238;0.0;15403.0;-50616.316129580664;-48725.759999999995;-1890.5561295806713;0.0;17629.87;5885.270127096435;-3443.0999429123794
95;4;230;255.69721575102284;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;6271.788556287928;12006.12127555782;12006.12127555782;29462.148029970427;39329.66255027347;39329.66255027347;3892.4306824108703;11686.8210337932;11686.8210337932;1309.1680623597094;0.0;13700.0;1.1412375701028354;0.0;15403.0;-46936.67656140532;-45174.72;-1761.9565614053201;0.0;17629.87;5999.999999999988;-3443.0999429123794
96;4;230;241.38955848005384;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;5824.674248324489;12006.12127555782;12006.12127555782;27673.690999552455;39329.66255027347;39329.66255027347;3534.739241290583;11686.8210337932;11686.8210337932;1080.2231783500958;0.0;13700.0;0.9274629932714726;0.0;15403.0;-44114.25512354937;-42452.159999999996;-1662.0951235493703;0.0;17629.87;6000.000000000002;-3443.0999429123794
97;5;271;227.45891204620685;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;5389.341509320961;12006.12127555782;12006.12127555782;25932.360460756314;39329.66255027347;39329.66255027347;3186.473061023029;11686.8210337932;11686.8210337932;2066.8133902502;0.0;13700.0;0.9480437755130013;0.0;15403.0;-42575.936458648204;-40966.08;-1609.856458648203;0.0;17629.87;5999.9999999999945;-3443.0999429123794
