Timestep;Day;DayOfYear;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
29;2;116;99.04726876709728;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1376.5063639231987;2145.203441041757;2145.203441041757;9570.828799170331;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;468.5929407483147;0.0;5315.0;0.0;0.0;8788.0;-8469.602777694863;-8138.88;-330.7227776948629;0.0;15468.46;-2946.3244315962284;853.3526925324056
30;2;116;110.66060595585957;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1739.4008576130136;2145.203441041757;2145.203441041757;9570.828799173212;9570.828799172587;9570.828799172587;177.67830545004347;2899.0751003770793;2899.0751003770793;518.6693272319536;0.0;5315.0;4.325346192686995;0.0;8788.0;-9392.594584507;-9026.88;-365.71458450700163;0.0;15468.46;-2618.3078473975143;853.3526925324056
31;2;116;127.39616751126997;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;2145.2034410403944;2145.203441041757;2145.203441041757;9570.828799173236;9570.828799172587;9570.828799172587;456.60463372905065;2899.0751003770793;2899.0751003770793;584.9586637069598;0.0;5315.0;176.81969057634467;0.0;8788.0;-10150.05272918195;-9756.48;-393.57272918195065;0.0;15468.46;-2784.362245287879;853.3526925324056
32;2;116;122.2677772313231;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;2102.1248287527783;2145.203441041757;2145.203441041757;9570.828799173232;9570.828799172587;9570.828799172587;371.1311352672229;2899.0751003770793;2899.0751003770793;604.244512842569;0.0;5315.0;715.329139738744;0.0;8788.0;-10532.106864304591;-10123.199999999999;-408.90686430459124;0.0;15468.46;-2831.551350590373;853.3526925324056
33;2;116;101.72654979686412;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1460.1892270625308;2145.203441041757;2145.203441041757;9570.828799173141;9570.828799172587;9570.828799172587;28.77229993919629;2899.0751003770793;2899.0751003770793;549.9742125054148;0.0;5315.0;1618.3105763993983;0.0;8788.0;-10728.07558242011;-10309.44;-418.63558242010976;0.0;15468.46;-2500.000000000174;853.3526925324056
34;2;116;87.39768311450624;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1012.4276150508126;2145.203441041757;2145.203441041757;8424.710314199263;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;614.6721477068648;0.0;5315.0;3165.814773843766;0.0;8788.0;-10717.624850534265;-10297.92;-419.70485053426466;0.0;15468.46;-2500.0000000000305;853.3526925324056
35;2;116;78.35482389970906;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;729.8382616949517;2145.203441041757;2145.203441041757;7294.352924612669;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;708.6395571606253;0.0;5315.0;4602.672459652589;0.0;8788.0;-10835.503202897951;-10410.24;-425.26320289795126;0.0;15468.46;-2500.000000000022;853.3526925324056
36;2;116;71.74687950617152;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;523.3399970943863;2145.203441041757;2145.203441041757;6468.359885181436;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;639.8356308279559;0.0;5315.0;5474.849273295035;0.0;8788.0;-10606.384786210545;-10189.44;-416.9447862105443;0.0;15468.46;-2500.000000000013;853.3526925324056
37;2;116;70.68717140845804;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;490.2241187441453;2145.203441041757;2145.203441041757;6335.8963742262085;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;639.769688786234;0.0;5315.0;5432.754111371716;0.0;8788.0;-10398.644292944504;-9989.76;-408.8842929445035;0.0;15468.46;-2500.0000000000073;853.3526925324056
38;2;116;71.29975528952961;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;509.367365293312;2145.203441041757;2145.203441041757;6412.469358234493;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;643.1151483695936;0.0;5315.0;5255.684289565368;0.0;8788.0;-10320.636161274986;-9914.88;-405.7561612749865;0.0;15468.46;-2500.0000000000146;853.3526925324056
39;2;116;73.58464298725065;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;580.7701066788302;2145.203441041757;2145.203441041757;6698.0803169260535;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;613.6390557198879;0.0;5315.0;4710.071113470849;0.0;8788.0;-10102.560592595346;-9705.6;-396.9605925953456;0.0;15468.46;-2499.9999999999977;853.3526925324056
40;2;116;77.77507498071316;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;711.7211078877393;2145.203441041757;2145.203441041757;7221.884310120706;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;644.5087235179841;0.0;5315.0;3835.16979350774;0.0;8788.0;-9913.283934812653;-9524.16;-389.1239348126522;0.0;15468.46;-2500.000000000009;853.3526925324056
41;2;116;83.6876021258857;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;896.4875831255865;2145.203441041757;2145.203441041757;7960.950194996193;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;689.6658336891664;0.0;5315.0;3067.424692478427;0.0;8788.0;-10114.528304038533;-9718.08;-396.448304038533;0.0;15468.46;-2500.0000000000155;853.3526925324056
42;2;116;90.39872268502538;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1106.2101027829074;2145.203441041757;2145.203441041757;8799.840255631432;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;750.6490338736143;0.0;5315.0;1981.1278496068571;0.0;8788.0;-10137.82724161113;-9741.119999999999;-396.7072416111311;0.0;15468.46;-2500.000000000019;853.3526925324056
43;2;116;99.8119203333265;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1400.349840689095;2145.203441041757;2145.203441041757;9570.828799173043;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;688.1755435462505;0.0;5315.0;803.6908828672997;0.0;8788.0;-9963.045752540134;-9574.08;-388.96575254013356;0.0;15468.46;-2500.000000000016;853.3526925324056
44;2;116;113.98037348692871;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1843.1212149278633;2145.203441041757;2145.203441041757;9570.828799173221;9570.828799172587;9570.828799172587;233.00269446407225;2899.0751003770793;2899.0751003770793;632.2830689827367;0.0;5315.0;127.45917846459466;0.0;8788.0;-9906.695423409363;-9521.279999999999;-385.4154234093631;0.0;15468.46;-2500.0000000000423;853.3526925324056
