Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
11;79.79125571321559;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;774.7079146859985;1428.8264829064044;1428.8264829064044;6855.422859909015;6855.422859936213;6855.422859936213;0.0;7184.225239402064;7184.225239402064;2001.56955704;0.0;5315.0;2332.255343444;0.0;8788.0;-9383.102129535435;-9014.971199999998;-368.130929535436;0.0;15468.46;-2580.8539935108834;0.0
12;450.6297004759843;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;1428.8264829017228;1428.8264829064044;1428.8264829064044;6855.422859909204;6855.422859936213;6855.422859936213;5843.817408058816;7184.225239402064;7184.225239402064;531.55315;0.0;5315.0;882.985821068;0.0;8788.0;-14335.119288771975;-13824.0096;-511.1096887719761;0.0;15468.46;-1207.487387531422;0.0
13;70.16761563950185;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;473.9069514608743;1428.8264829064044;1428.8264829064044;6268.409571892406;6855.422859936213;6855.422859936213;0.0;7184.225239402064;7184.225239402064;2309.578330105;0.0;5315.0;3377.281400428;0.0;8788.0;-9518.54638805903;-9144.2208;-374.3255880590314;0.0;15468.46;-2910.6319029489646;0.0
14;70.27864497446043;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;477.3497489661105;1428.8264829064044;1428.8264829064044;6281.694633750059;6855.422859936213;6855.422859936213;0.0;7184.225239402064;7184.225239402064;2473.819675045;0.0;5315.0;3304.9504042880003;0.0;8788.0;-9454.513343040737;-9082.716;-371.7973430407356;0.0;15468.46;-3083.3038619068207;0.0
15;72.4060733876775;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;543.7911330839629;1428.8264829064044;1428.8264829064044;6546.819213171377;6855.422859936213;6855.422859936213;0.0;7184.225239402064;7184.225239402064;2667.884452315;0.0;5315.0;2613.375070904;0.0;8788.0;-9281.534762812027;-8916.7296;-364.8051628120264;0.0;15468.46;-3090.338931770896;0.0
16;79.8414995852563;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;776.2780330239452;1428.8264829064044;1428.8264829064044;6855.422859909015;6855.422859936213;6855.422859936213;0.0;7184.225239402064;7184.225239402064;2822.4763084549995;0.0;5315.0;1431.583804196;0.0;8788.0;-9084.660877829894;-8728.243199999999;-356.4176778298951;0.0;15468.46;-2801.1005757390494;0.0
17;107.76383367515778;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;1428.8264829058703;1428.8264829064044;1428.8264829064044;6855.422859909017;6855.422859936213;6855.422859936213;129.38631339165653;7184.225239402064;7184.225239402064;2929.87065101;0.0;5315.0;307.25238336;0.0;8788.0;-9232.372614883068;-8872.6392;-359.733414883068;0.0;15468.46;-2418.3870284271775;0.0
18;508.01973926003797;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;1428.8264829025375;1428.8264829064044;1428.8264829064044;6855.422859909204;6855.422859936213;6855.422859936213;6800.523879141355;7184.225239402064;7184.225239402064;531.55315;0.0;5315.0;0.0050003719999999995;0.0;8788.0;-14326.854913960444;-13824.0096;-502.8453139604452;0.0;15468.46;-1289.459276054798;0.0
19;543.6282476043983;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;1428.826482902877;1428.8264829064044;1428.8264829064044;6855.422859932148;6855.422859936213;6855.422859936213;7184.225238885594;7184.225239402064;7184.225239402064;531.55315;0.0;5315.0;0.0;0.0;8788.0;-15913.029217314142;-15360.0096;-553.0196173141442;0.0;15468.46;-86.9819402247352;0.0
20;125.75561069719882;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;1428.8264829058453;1428.8264829064044;1428.8264829064044;6855.422859931961;6855.422859936213;6855.422859936213;429.2492649719703;7184.225239402064;7184.225239402064;3184.90721614;0.0;5315.0;0.0;0.0;8788.0;-9860.871294191413;-9478.356;-382.5152941914123;0.0;15468.46;-2037.535482381715;0.0
21;98.17752426759232;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;1349.2815489502404;1428.8264829064044;1428.8264829064044;6855.422859931961;6855.422859936213;6855.422859936213;0.0;7184.225239402064;7184.225239402064;3260.153249695;0.0;5315.0;0.0;0.0;8788.0;-9400.931330808018;-9033.7632;-367.1681308080182;0.0;15468.46;-2063.926710343558;0.0
22;80.19981133748941;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;787.4752920405655;1428.8264829064044;1428.8264829064044;6855.42285993196;6855.422859936213;6855.422859936213;0.0;7184.225239402064;7184.225239402064;3343.848841705;0.0;5315.0;0.0;0.0;8788.0;-9059.610880428163;-8704.207199999999;-355.40368042816493;0.0;15468.46;-1927.1365608326942;0.0
23;72.71641955928567;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;553.5682515243413;1428.8264829064044;1428.8264829064044;6587.540908839851;6855.422859936213;6855.422859936213;0.0;7184.225239402064;7184.225239402064;3435.394019025;0.0;5315.0;0.0;0.0;8788.0;-8833.169673181736;-8486.0136;-347.15607318173454;0.0;15468.46;-1743.335284273177;0.0
24;69.36917766164126;69974.81540269227;15468.47458224146;15468.46;15468.47458224146;448.98297284384205;1428.8264829064044;1428.8264829064044;6169.532934799233;6855.422859936213;6855.422859936213;0.0;7184.225239402064;7184.225239402064;3506.86525454;0.0;5315.0;0.0;0.0;8788.0;-8598.765975018603;-8260.5456;-338.22037501860285;0.0;15468.46;-1526.6165493977774;0.0
