Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
11;79.79388568417221;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;774.8180570465913;1579.1099222749274;1579.1099222749274;7125.818145636567;7125.818145644147;7125.818145644147;0.0;8464.996380352493;8464.996380352493;2856.1538443;0.0;8300.0;1591.7045236959998;0.0;18662.0;-11542.457468510682;-11089.607999999998;-452.8494685106837;0.0;17169.93;-806.0370159202423;0.0
12;450.6322905933058;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;1579.1099222748453;1579.1099222749274;1579.1099222749274;7125.81814564405;7125.818145644147;7125.818145644147;4382.900113543657;8464.996380352493;8464.996380352493;830.083;0.0;8300.0;1882.46897174;0.0;18662.0;-16127.00752883839;-15552.0096;-574.9979288383912;0.0;17169.93;326.62711684883226;0.0
13;70.19780739939847;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;474.9952927273509;1579.1099222749274;1579.1099222749274;6275.464606228697;7125.818145644147;7125.818145644147;0.0;8464.996380352493;8464.996380352493;3217.6923076000003;0.0;8300.0;2082.273357486;0.0;18662.0;-11353.651297043843;-10907.1618432;-446.4894538438437;0.0;17169.93;-696.7735077869226;0.0
14;70.32453683061726;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;478.9953908029129;1579.1099222749274;1579.1099222749274;6292.446362395186;7125.818145644147;7125.818145644147;0.0;8464.996380352493;8464.996380352493;3400.1923092;0.0;8300.0;1853.2386811400002;0.0;18662.0;-11490.665459541813;-11038.8018432;-451.8636163418123;0.0;17169.93;-534.2060493577416;0.0
15;72.477977119563;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;546.3579782096607;1579.1099222749274;1579.1099222749274;6563.702499207575;7125.818145644147;7125.818145644147;0.0;8464.996380352493;8464.996380352493;3565.961536;0.0;8300.0;1297.8632157260001;0.0;18662.0;-11730.416836839819;-11269.367999999999;-461.04883683981967;0.0;17169.93;-243.46635011076452;0.0
16;79.84413026692503;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;776.388221441623;1579.1099222749274;1579.1099222749274;7125.818145637582;7125.818145644147;7125.818145644147;0.0;8464.996380352493;8464.996380352493;3709.2307659;0.0;8300.0;1020.944702666;0.0;18662.0;-12035.259791581391;-11563.0818432;-472.1779483813911;0.0;17169.93;-597.1219576519475;0.0
17;107.76642280216008;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;1579.1099222046048;1579.1099222749274;1579.1099222749274;7125.8181456440725;7125.818145644147;7125.818145644147;97.07677979890094;8464.996380352493;8464.996380352493;3789.0384614;0.0;8300.0;523.645213294;0.0;18662.0;-12651.499306765316;-12158.5421568;-492.95714996531507;0.0;17169.93;-463.1894733606909;0.0
18;508.02374620839237;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;1579.1099222748587;1579.1099222749274;1579.1099222749274;7125.818145644059;7125.818145644147;7125.818145644147;5100.464900304701;8464.996380352493;8464.996380352493;830.083;0.0;8300.0;0.0;0.0;18662.0;-17908.56540960087;-17280.009599999998;-628.5558096008731;0.0;17169.93;3273.1017294764406;0.0
19;543.6514907398989;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;1579.109922274888;1579.1099222749274;1579.1099222749274;7125.8181456441735;7125.818145644147;7125.818145644147;5545.775369273786;8464.996380352493;8464.996380352493;830.083;0.0;8300.0;0.0;0.0;18662.0;-16161.6564440149;-15600.0;-561.6564440148991;0.0;17169.93;1080.8797983014304;0.0
20;125.75820008204737;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;1579.1099222749622;1579.1099222749274;1579.1099222749274;7125.818145644185;7125.818145644147;7125.818145644147;321.973997170175;8464.996380352493;8464.996380352493;3702.8846191;0.0;8300.0;0.0;0.0;18662.0;-12530.429808784644;-12044.359382399998;-486.0704263846453;0.0;17169.93;-199.35713310009857;0.0
21;98.18022988837728;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;1349.3964694048573;1579.1099222749274;1579.1099222749274;7125.818145644184;7125.818145644147;7125.818145644147;0.0;8464.996380352493;8464.996380352493;3685.7692306;0.0;8300.0;0.0;0.0;18662.0;-11934.45006222208;-11468.331696;-466.1183662220814;0.0;17169.93;-226.53364404466208;0.0
22;80.20244231171722;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;787.5855002313318;1579.1099222749274;1579.1099222749274;7125.818145642138;7125.818145644147;7125.818145644147;0.0;8464.996380352493;8464.996380352493;3657.884617;0.0;8300.0;0.0;0.0;18662.0;-11347.243847272319;-10902.0978432;-445.14600407232;0.0;17169.93;-224.04432890299887;0.0
23;72.74655975223311;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;554.648487530204;1579.1099222749274;1579.1099222749274;6594.604205683503;7125.818145644147;7125.818145644147;0.0;8464.996380352493;8464.996380352493;3583.6538492;0.0;8300.0;0.0;0.0;18662.0;-10661.628755525197;-10242.6147648;-419.01399072519575;0.0;17169.93;-71.27697064031004;0.0
24;69.39093512660645;79999.99938553169;17169.924448271646;17169.93;17169.924448271646;449.7646970584753;1579.1099222749274;1579.1099222749274;6174.6255656599915;7125.818145644147;7125.818145644147;0.0;8464.996380352493;8464.996380352493;3423.8461555;0.0;8300.0;0.0;0.0;18662.0;-9920.213407645062;-9530.01784608;-390.1955615650619;0.0;17169.93;-128.02243926551068;0.0
