Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
11;80.24230462552012;0.0;0.0;0.0;0.0;788.8196597159114;1410.1296404157272;1410.1296404157272;6842.659529820432;6842.659529833574;6842.659529833574;0.0;457.2411535146305;457.2411535146305;2001.56955704;0.0;5315.0;2332.255343444;0.0;8788.0;-9383.05976794777;-9014.971199999998;-368.08856794777313;0.0;0.0;-2582.2459167842244;0.0
12;4000.042142986866;0.0;0.0;0.0;0.0;1410.12964041581;1410.1296404157272;1410.1296404157272;6842.659529822281;6842.659529833574;6842.659529833574;457.2411535145983;457.2411535146305;457.2411535146305;531.55315;0.0;5315.0;882.985821068;0.0;8788.0;-9660.531227432455;-9660.528067925537;-0.00315950691799205;4163.481532074462;0.0;-464.01122171106977;0.0
13;70.1853793419546;0.0;0.0;0.0;0.0;474.54282643960977;1410.1296404157272;1410.1296404157272;6273.161603209808;6842.659529833574;6842.659529833574;0.0;457.2411535146305;457.2411535146305;2309.578330105;0.0;5315.0;3377.281400428;0.0;8788.0;-9518.544680931844;-9144.2208;-374.32388093184466;0.0;0.0;-2916.0196363854952;0.0
14;70.30428875488964;0.0;0.0;0.0;0.0;478.2587406741842;1410.1296404157272;1410.1296404157272;6288.025087963052;6842.659529833574;6842.659529833574;0.0;457.2411535146305;457.2411535146305;2473.819675045;0.0;5315.0;3304.9504042880003;0.0;8788.0;-9454.510896734138;-9082.716;-371.79489673413804;0.0;0.0;-3090.543171151492;0.0
15;72.44444000926026;0.0;0.0;0.0;0.0;545.1384988362701;1410.1296404157272;1410.1296404157272;6555.545217929772;6842.659529833574;6842.659529833574;0.0;457.2411535146305;457.2411535146305;2667.884452315;0.0;5315.0;2613.375070904;0.0;8788.0;-9281.531171827497;-8916.7296;-364.8015718274964;0.0;0.0;-3100.412210288023;0.0
16;80.2925617800599;0.0;0.0;0.0;0.0;790.3901959595576;1410.1296404157272;1410.1296404157272;6842.659529820736;6842.659529833574;6842.659529833574;0.0;457.2411535146305;457.2411535146305;2822.4763084549995;0.0;5315.0;1431.583804196;0.0;8788.0;-9084.61986238038;-8728.243199999999;-356.3766623803806;0.0;0.0;-2802.4915707098057;0.0
17;109.59539241020713;0.0;0.0;0.0;0.0;1410.129640415818;1410.1296404157272;1410.1296404157272;6842.659529822364;6842.659529833574;6842.659529833574;159.92274540732154;457.2411535146305;457.2411535146305;2929.87065101;0.0;5315.0;307.25238336;0.0;8788.0;-9232.203327592431;-8872.6392;-359.56412759243193;0.0;0.0;-2417.633537651788;0.0
18;4000.042075981171;0.0;0.0;0.0;0.0;1410.1296404158536;1410.1296404157272;1410.1296404157272;6842.659529828776;6842.659529833574;6842.659529833574;457.24115351459835;457.2411535146305;457.2411535146305;531.55315;0.0;5315.0;0.0050003719999999995;0.0;8788.0;-8623.958832534521;-8623.955659619001;-0.0031729155203273646;5200.053940380998;0.0;-617.6023632494307;0.0
19;4000.0420592306114;0.0;0.0;0.0;0.0;1410.1296404158536;1410.1296404157272;1410.1296404157272;6842.659529828776;6842.659529833574;6842.659529833574;457.24115351459835;457.2411535146305;457.2411535146305;531.55315;0.0;5315.0;0.0;0.0;8788.0;-9742.151438360102;-9742.148077630261;-0.0033607298420810392;5617.861522369738;0.0;500.5958658707412;0.0
20;131.92564858125613;0.0;0.0;0.0;0.0;1410.1296404158545;1410.1296404157272;1410.1296404157272;6842.6595298288585;6842.659529833574;6842.659529833574;457.24115350861865;457.2411535146305;457.2411535146305;3184.90721614;0.0;5315.0;0.0;0.0;8788.0;-9860.262093569352;-9478.356;-381.9060935693519;0.0;0.0;-2034.679806388308;0.0
21;97.99078088181366;0.0;0.0;0.0;0.0;1343.4595431972477;1410.1296404157272;1410.1296404157272;6842.659529828857;6842.659529833574;6842.659529833574;0.0;457.2411535146305;457.2411535146305;3260.153249695;0.0;5315.0;0.0;0.0;8788.0;-9400.94889872433;-9033.7632;-367.1856987243305;0.0;0.0;-2045.3250184985009;0.0
22;80.65097693903422;0.0;0.0;0.0;0.0;801.5906701620822;1410.1296404157272;1410.1296404157272;6842.659529827824;6842.659529833574;6842.659529833574;0.0;457.2411535146305;457.2411535146305;3343.848841705;0.0;5315.0;0.0;0.0;8788.0;-9059.569968555385;-8704.207199999999;-355.3627685553867;0.0;0.0;-1928.530667570489;0.0
23;72.73317879423308;0.0;0.0;0.0;0.0;554.1616854650943;1410.1296404157272;1410.1296404157272;6591.641441178272;6842.659529833574;6842.659529833574;0.0;457.2411535146305;457.2411535146305;3435.394019025;0.0;5315.0;0.0;0.0;8788.0;-8833.168179614024;-8486.0136;-347.1545796140237;0.0;0.0;-1748.0290518865427;0.0
24;69.38157932859089;0.0;0.0;0.0;0.0;449.42421891684296;1410.1296404157272;1410.1296404157272;6172.692159783729;6842.659529833574;6842.659529833574;0.0;457.2411535146305;457.2411535146305;3506.86525454;0.0;5315.0;0.0;0.0;8788.0;-8598.764898845955;-8260.5456;-338.2192988459557;0.0;0.0;-1530.216810756876;0.0
