Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
11;79.81066429989137;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;775.3029438967733;1568.7288044248867;1568.7288044248867;7106.953797943751;7106.953797948434;7106.953797948434;0.0;3230.6781179115756;3230.6781179115756;2856.1538443;0.0;8300.0;1591.7045236959998;0.0;18662.0;-11542.455539636514;-11089.607999999998;-452.8475396365154;0.0;16311.4;-787.6605734345326;4405.03927971315
12;446.5491796222491;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;1568.7288044213653;1568.7288044248867;1568.7288044248867;7106.953797948389;7106.953797948434;7106.953797948434;3230.678117228653;3230.6781179115756;3230.6781179115756;830.083;0.0;8300.0;1882.46897174;0.0;18662.0;-16127.668678160502;-15552.0096;-575.6590781605022;0.0;16311.4;1508.753966437097;4405.03927971315
13;70.17749403948814;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;474.26284593524827;1568.7288044248867;1568.7288044248867;6271.308599131795;7106.953797948434;7106.953797948434;0.0;3230.6781179115756;3230.6781179115756;3217.6923076000003;0.0;8300.0;2082.273357486;0.0;18662.0;-11353.653623017342;-10907.1618432;-446.49177981734255;0.0;16311.4;-691.884504332998;4405.03927971315
14;70.29734354367847;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;478.0123504085441;1568.7288044248867;1568.7288044248867;6286.406609577053;7106.953797948434;7106.953797948434;0.0;3230.6781179115756;3230.6781179115756;3400.1923092;0.0;8300.0;1853.2386811400002;0.0;18662.0;-11490.668610026014;-11038.8018432;-451.86676682601234;0.0;16311.4;-527.1822321181633;4405.03927971315
15;72.43994919359359;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;544.9795736544025;1568.7288044248867;1568.7288044248867;6554.52397704933;7106.953797948434;7106.953797948434;0.0;3230.6781179115756;3230.6781179115756;3565.961536;0.0;8300.0;1297.8632157260001;0.0;18662.0;-11730.421333366248;-11269.367999999999;-461.0533333662489;0.0;16311.4;-232.90753798919351;4405.03927971315
16;79.86090923223581;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;776.8731014373014;1568.7288044248867;1568.7288044248867;7106.953797944485;7106.953797948434;7106.953797948434;0.0;3230.6781179115756;3230.6781179115756;3709.2307659;0.0;8300.0;1020.944702666;0.0;18662.0;-12035.257780334246;-11563.0818432;-472.1759371342466;0.0;16311.4;-578.7455908751442;4405.03927971315
17;107.84421915484833;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;1568.7288044235613;1568.7288044248867;1568.7288044248867;7106.9537979486295;7106.953797948434;7106.953797948434;98.04696662031492;3230.6781179115756;3230.6781179115756;3789.0384614;0.0;8300.0;523.645213294;0.0;18662.0;-12651.48945963299;-12158.5421568;-492.94730283299083;0.0;16311.4;-434.92485515555313;4405.03927971315
18;1310.2837008883948;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;1568.728804423874;1568.7288044248867;1568.7288044248867;7106.953797948407;7106.953797948434;7106.953797948434;3230.6781179121476;3230.6781179115756;3230.6781179115756;830.083;0.0;8300.0;0.0;0.0;18662.0;-17764.158462570223;-17280.009599999998;-484.1488625702273;0.0;16311.4;5027.712718992523;4405.03927971315
19;546.8095149447969;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;1568.7288044221848;1568.7288044248867;1568.7288044248867;7106.953797946873;7106.953797948434;7106.953797948434;3230.6781179097147;3230.6781179115756;3230.6781179115756;830.083;0.0;8300.0;0.0;0.0;18662.0;-16161.143142927793;-15600.0;-561.1431429277936;0.0;16311.4;3424.697399410091;4405.03927971315
20;125.83598886890017;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;1568.7288044245508;1568.7288044248867;1568.7288044248867;7106.953797947104;7106.953797948434;7106.953797948434;322.9440882172382;3230.6781179115756;3230.6781179115756;3702.8846191;0.0;8300.0;0.0;0.0;18662.0;-12530.420055076906;-12044.359382399998;-486.060672676907;0.0;16311.4;-171.09232565181475;4405.03927971315
21;98.07255190545627;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;1345.988255838694;1568.7288044248867;1568.7288044248867;7106.953797947104;7106.953797948434;7106.953797948434;0.0;3230.6781179115756;3230.6781179115756;3685.7692306;0.0;8300.0;0.0;0.0;18662.0;-11934.462934161209;-11468.331696;-466.1312381612092;0.0;16311.4;-204.24915023437347;4405.03927971315
22;80.2192252852305;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;788.0704833286807;1568.7288044248867;1568.7288044248867;7106.953797946217;7106.953797948434;7106.953797948434;0.0;3230.6781179115756;3230.6781179115756;3657.884617;0.0;8300.0;0.0;0.0;18662.0;-11347.241950519134;-10902.0978432;-445.1441073191336;0.0;16311.4;-205.6679511850232;4405.03927971315
23;72.72895233643162;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;554.0116971575094;1568.7288044248867;1568.7288044248867;6590.653064565527;7106.953797948434;7106.953797948434;0.0;3230.6781179115756;3230.6781179115756;3583.6538492;0.0;8300.0;0.0;0.0;18662.0;-10661.630648190594;-10242.6147648;-419.0158833905943;0.0;16311.4;-66.68850564073665;4405.03927971315
24;69.37743558876507;77543.5181291202;11906.360720284329;16311.4;11906.360720284329;449.2770888711485;1568.7288044248867;1568.7288044248867;6171.718121513273;7106.953797948434;7106.953797948434;0.0;3230.6781179115756;3230.6781179115756;3423.8461555;0.0;8300.0;0.0;0.0;18662.0;-9920.214757936506;-9530.01784608;-390.19691185650623;0.0;16311.4;-124.62714156475799;4405.03927971315
